MonthlyCharge,Bandwidth_GB_Year,StreamingTV,Age
172.4404,929.9153923,1,87
149.9621,5214.115508,1,25
159.9642,5630.09035,1,75
182.4676,6036.455962,1,87
174.9699,6447.106744,0,74
240.1149,5527.671776,1,58
277.6513,1824.879678,1,32
207.6094,4779.956484,1,37
134.9509,1201.308416,0,49
159.9512,954.1821997,0,63
192.4404,3385.487772,1,88
127.4421,4363.988222,0,21
152.4742,1350.573202,0,30
149.9778,5828.531986,0,38
245.1283,4967.376182,1,26
117.4835,1380.517356,0,54
160.0122,546.329954,0,46
197.4725,1558.694988,1,70
182.4676,5373.367053,1,74
152.4555,2148.657258,0,51
139.9875,5562.421296,0,79
157.4836,558.284596,0,48
127.4586,1722.032536,1,70
102.4746,5605.5846,0,73
129.9598,1037.103018,0,67
210.1518,4878.104493,1,81
287.6427,5345.046858,1,44
152.488401,1580.43019,0,84
92.455141,720.6019295,0,69
152.4798,829.160544,1,41
104.9643,2679.775265,0,77
162.4653,5249.057419,0,26
179.9476,4681.487886,0,41
247.664655,1338.247732,1,40
162.447,1585.841616,0,62
172.4624,5978.105413,1,78
79.97886,979.2710238,0,41
127.4421,1306.270891,0,80
134.9509,5903.828849,0,39
222.65,4993.241423,1,47
164.967,1700.500703,1,27
152.455519,2006.076916,0,28
129.9763,5441.885561,1,34
222.6362,5972.423634,1,60
184.971516,943.6675679,1,79
187.656,1542.223736,1,88
152.495236,557.0118807,1,69
240.1149,2064.732863,1,55
152.4624,6209.831863,1,76
222.6326,5838.178564,1,49
242.6143,6349.636467,1,70
129.9915,5771.251702,0,43
169.9447,688.5203813,1,48
160.0013,1217.604663,0,40
127.5112,5938.865925,0,46
257.63748,2062.605873,1,26
139.9568,4102.71703,1,41
225.1786,1153.07333,1,77
212.6415,5546.135558,1,45
275.1198,6484.571924,1,32
240.1149,1084.469104,1,33
149.9621,4775.621608,1,57
222.6281,6017.240403,1,62
182.4608,5405.598202,0,80
124.9781,722.8531617,0,83
129.9598,1607.273001,0,36
197.4876,5993.021537,0,24
175.1331,5675.888405,1,84
117.4835,822.5599233,0,39
242.6281,5772.05845,1,64
152.4907,3927.326903,1,81
184.9647,1272.863604,0,55
117.4686,1133.237154,0,68
222.6326,5960.117505,1,53
214.9663,5550.321643,0,54
182.4676,5326.92968,1,45
232.652,6595.253777,1,53
267.6647,1560.396967,1,79
219.9902,1254.859385,1,65
137.4836,5760.474223,0,55
124.9781,5950.964541,0,46
162.4526,5757.310478,1,87
139.934918,922.2958319,1,34
104.97808,1344.903546,0,39
177.6508,753.8000793,1,52
245.1283,2335.858768,1,80
217.484,6073.6103,0,57
172.440432,1552.772876,1,31
175.0211,1019.803014,0,48
177.4876,5831.502124,0,21
169.9447,6342.815783,1,34
92.45514,1844.526573,0,55
172.4871,5027.299322,1,80
117.4872,5291.226692,0,72
117.4835,1806.59355,0,45
164.9889,4974.094369,1,48
202.65,6515.886968,1,88
217.472533,1045.580948,1,34
204.979684,567.3209248,0,42
192.4705,5890.196741,0,82
184.963371,1138.169594,1,51
165.0182,6274.153212,1,45
179.9794,4073.89846,0,81
147.4783,2047.373281,0,66
114.9728,5390.143405,0,78
149.9621,1885.551581,1,47
147.4601,1544.583357,0,58
169.9447,5683.50493,1,69
194.9992,3879.472538,0,67
275.133571,1381.481321,1,72
114.972827,551.1855922,0,26
149.9915,820.2134061,0,57
190.127,6246.190895,1,31
169.9447,5815.077393,1,44
127.4783,5282.510146,0,53
232.652,949.8530724,1,64
207.4673,6026.66605,1,67
162.497,5088.812303,0,63
149.9621,5897.480679,1,65
112.4551,506.5377808,0,26
112.4551,4173.252675,0,85
149.9378,6220.114553,0,80
192.4885,5461.972077,0,59
157.4698,2013.177858,0,83
137.4392,1943.635982,1,45
195.0062,5117.897337,0,24
187.4811,6742.932022,1,52
172.4441,5524.694912,1,60
175.0048,1667.975198,1,28
200.1323,4761.06852,1,82
147.4601,412.2016012,0,88
197.4702,1813.141473,0,75
139.99789,730.1829735,0,71
107.4806,1555.471333,1,67
255.1372,6406.812827,1,32
220.1149,6004.311688,1,20
200.1323,2521.277564,1,46
255.1372,6174.944351,1,35
175.1331,4696.683851,1,88
127.4958,5486.549081,0,43
172.4705,6089.889713,0,23
204.9496,5208.138235,1,51
207.6386,2150.497966,1,33
222.6281,4847.023011,1,61
137.4392,5272.094696,1,25
149.977753,1845.830672,0,26
179.9794,4805.533141,0,35
117.472,5917.079917,1,25
107.4958,5615.5589,0,63
252.6378,5857.728582,1,52
184.9963,5317.113285,1,27
167.456419,1142.427499,0,23
169.9928,1230.552027,0,40
265.1283,6091.064644,1,46
129.9598,6335.855442,0,56
137.4872,463.388528,0,73
92.45514,5721.203342,0,32
197.470195,2847.700412,0,27
159.9512,1114.676099,0,52
214.9525,4235.297978,0,42
172.4624,5764.752948,1,19
255.1417,6523.645236,1,20
134.980139,831.4033785,0,60
265.128318,1164.843819,1,52
200.1652,1131.789188,1,29
149.9741,6498.14477,0,77
287.6427,6261.840951,1,51
144.960655,1014.854462,0,31
207.4811,5547.526595,1,66
207.6094,6196.925843,1,68
162.4653,1452.308983,0,37
252.6378,6130.335448,1,62
222.65,729.4156023,1,74
252.624,900.8621208,1,18
169.967067,1681.813552,0,48
187.656,5902.250031,1,51
184.9715,1144.514093,1,79
204.9634,1835.681416,1,28
127.4958,5997.124075,0,46
242.610632,2088.48083,1,35
144.9889,6398.11875,1,73
119.9897,1283.330518,1,34
137.4686,5994.956113,0,53
169.992756,1688.039806,0,71
245.1283,6196.784339,1,31
172.4441,628.4063951,1,27
149.9447,2026.924358,1,49
127.475,412.7637414,0,86
217.484,6006.905316,0,33
147.4783,4805.894692,0,68
232.624,5168.330032,1,73
149.9776,4780.976448,1,40
172.4705,6510.228805,0,32
255.1417,1318.027865,1,69
139.9512,6265.689465,0,20
149.989,5328.929299,0,74
162.4653,6839.025934,0,34
152.455519,1416.444695,0,42
192.4885,693.5913883,0,30
152.4884,2200.745774,0,85
252.6378,1225.184798,1,38
192.4885,4218.975069,0,63
137.4872,5036.334729,0,82
112.4551,3840.965627,0,55
172.503404,1042.502776,0,43
177.6508,5916.705233,1,39
245.1612,1042.042108,1,37
92.455141,774.2937069,0,77
169.9378,4149.794964,0,33
159.9512,6176.702519,0,39
127.495766,497.9042695,0,29
124.9781,5469.698389,0,54
117.4835,284.4922663,0,76
252.637807,1577.208717,1,41
117.4392,6550.573563,1,29
104.9629,678.3000196,1,45
252.624,6468.456752,1,39
107.482,5931.595281,0,29
162.4653,4318.755591,0,71
182.497,5451.620478,0,61
220.1615,5672.886971,1,52
220.1149,6035.974102,1,77
172.4705,2065.691215,0,34
114.9838,1109.677542,0,41
197.5169,1518.895794,0,58
159.965,5168.943477,0,30
144.9889,6677.35743,1,48
172.4567,5792.097707,0,66
139.965,1826.031678,0,74
214.952509,1328.734281,0,18
119.9897,1439.519609,1,81
174.9699,4970.689824,0,78
232.6228,6189.424043,1,78
127.473844,1826.678884,0,87
79.97886,1683.407282,0,35
164.9785,6294.844782,0,66
207.4811,2300.741445,1,33
182.4653,5450.903985,0,51
162.4937,5270.238451,0,42
152.4798,5517.434596,1,71
247.6647,2089.325891,1,34
275.1198,6149.65603,1,85
157.469817,1299.5973,0,73
222.6326,5808.103829,1,70
220.1185,1317.291468,1,85
235.1372,5655.227579,1,32
190.1737,1140.769093,1,78
140.0013,6515.441262,0,33
139.9512,5992.346598,0,77
207.6094,650.9200141,1,36
130.006414,565.3167155,0,68
137.5165,342.5038822,0,45
159.9512,5174.273895,0,21
139.9349,5583.509795,1,57
149.9447,1114.579555,1,33
210.127,5688.676981,1,67
267.6427,4642.627892,1,31
169.9741,5243.121015,0,82
182.4653,5018.922157,0,81
159.9642,5465.291356,1,74
187.609354,1393.202392,1,21
127.4586,5409.545415,1,25
150.020764,529.9370637,0,86
149.9483,5831.475339,1,35
210.127,1875.199655,1,43
187.4811,6754.429939,1,69
159.964152,1076.076012,1,23
139.99789,683.8622599,0,50
107.528648,1104.883551,0,39
222.6362,5672.644392,1,39
194.974431,982.2094626,0,76
137.439154,970.4682919,1,60
127.475,825.6485531,0,72
112.4551,3095.105954,0,28
139.934918,2329.912456,1,31
167.4564,3592.529146,0,87
129.962093,1840.628269,1,58
137.4684,1847.394712,1,28
255.1555,1874.421389,1,79
235.1417,6457.917933,1,61
290.1604,1822.617538,1,27
217.4702,1921.943744,0,31
185.0077,6253.087064,0,68
104.9781,4320.023398,0,68
159.965,4933.193936,0,35
114.9976,979.002185,0,53
137.4616,4170.178568,0,30
149.9378,5428.595513,0,22
142.5007,1238.891522,0,31
169.9378,965.3809411,0,36
179.9656,485.4228279,0,48
112.455141,1163.407505,0,48
149.9621,760.1831445,1,56
210.105118,2275.888923,1,86
139.965,5361.534076,0,70
127.475,1554.131756,0,25
127.4586,1152.131327,1,35
129.948316,1023.702263,1,47
172.456745,1705.362101,0,69
159.9476,1582.882748,0,27
182.4433,1629.696337,0,32
232.6415,676.2344842,1,61
194.988208,971.7404705,0,70
182.497,1321.610648,0,23
172.4733,1193.771492,1,43
157.4698,502.9172945,0,86
119.9897,5116.646122,1,74
