MonthlyCharge,Bandwidth_GB_Year,Age,StreamingMovies,StreamingTV
172.455519,904.5361102,68,1,0
242.632554,800.9827661,27,1,1
159.947583,2054.706961,50,1,0
119.95684,2164.579412,48,0,1
149.948316,271.4934362,83,0,1
185.007692,1039.357983,83,1,0
200.118516,1907.242972,79,1,1
114.950905,979.6127078,30,0,0
117.468591,1312.874964,49,0,0
162.482694,508.7637913,86,1,0
174.958118,2728.767869,23,0,1
149.962093,1180.588788,56,0,1
137.439154,1196.388018,83,0,1
184.971516,1948.694497,29,0,1
159.965581,1582.295235,30,0,0
177.65076,1840.014467,39,1,1
194.966286,2070.376729,63,1,0
202.682861,882.0985933,60,1,1
152.490739,1833.0967,61,0,1
149.944668,1954.080809,23,0,1
184.978458,2330.319383,38,1,0
127.495766,594.1054279,30,0,0
124.964303,713.0633088,52,0,0
149.948316,945.3802928,68,0,1
162.511928,870.76398,75,1,0
92.455141,774.2937069,77,0,0
222.649979,1506.446527,47,1,1
139.981577,419.0508708,70,0,1
200.132293,1259.415493,20,1,1
257.651257,1745.125956,69,1,1
230.105118,1795.465729,45,1,1
147.489301,492.4771472,40,0,0
230.105118,1013.993166,82,1,1
174.958118,2680.762173,74,0,1
267.664655,1081.814362,69,1,1
162.483267,1209.961168,52,0,0
229.993134,897.5919144,26,1,0
140.00128,1340.930156,25,0,0
184.964681,1113.993679,66,1,0
147.473844,1530.10769,72,0,0
172.457857,1310.137419,21,0,1
107.481989,892.8964931,55,0,0
255.141716,1125.581944,41,1,1
192.456745,2016.710031,32,1,0
242.632554,1412.736809,22,1,1
245.174977,1710.689671,44,1,1
184.964681,2384.885909,23,1,0
195.006206,1213.940165,43,0,0
104.962874,740.010722,86,0,1
92.488023,897.9716153,84,0,0
184.979684,1026.387172,62,1,0
187.656013,1234.244324,68,1,1
149.962093,727.3731845,59,0,1
169.944668,452.8721504,31,0,1
160.00128,1296.674543,51,0,0
129.962093,1840.628269,58,0,1
114.950905,1324.330108,73,0,0
142.515576,958.1397059,33,1,0
220.14775,1868.864027,58,1,1
124.97808,676.712908,49,0,0
164.964681,1086.990308,26,1,0
194.976769,704.7540406,25,0,1
152.455519,1416.444695,42,1,0
92.5018,1095.950634,81,0,0
127.488728,1083.610268,43,1,0
184.963371,1570.641337,63,0,1
265.146969,1007.425553,70,1,1
207.609354,1323.028419,78,1,1
152.462354,1808.730555,48,0,1
200.132293,1120.241472,63,1,1
212.655686,2676.789803,60,1,1
255.119794,1268.086909,87,1,1
134.950905,822.6771666,54,0,0
255.137219,1577.915603,35,1,1
214.966286,648.7471776,70,1,0
270.160419,1648.102673,67,1,1
200.165175,768.0874545,46,1,1
149.937833,2426.030626,50,1,0
240.114868,2660.503932,24,1,1
127.495766,1129.549713,20,0,0
187.609354,1771.286466,29,1,1
169.992756,943.3391244,31,0,0
192.456745,1907.226083,72,1,0
120.004928,1885.939118,71,0,0
195.006206,631.7435653,32,0,0
139.95684,562.6095219,33,0,1
114.983787,593.8572264,67,0,0
207.638588,777.3060718,66,1,1
187.609354,1393.202392,21,1,1
134.950905,393.6524652,61,0,0
192.470522,409.7486664,75,1,0
222.628057,2138.107161,63,1,1
162.468917,443.984031,68,1,0
159.979358,2481.385603,32,0,0
184.979684,2233.567181,76,1,0
245.145743,1158.91369,29,1,1
124.97808,529.40733,83,0,0
187.484705,1956.7337,23,0,1
162.500692,2056.386979,80,0,0
182.467607,1067.373076,20,0,1
222.660939,1806.135733,69,1,1
182.467607,1397.701335,32,0,1
220.161527,808.4305471,53,1,1
169.937833,1886.531937,25,1,0
204.963371,2294.781131,69,0,1
204.963371,826.3438621,71,0,1
245.128318,2072.564168,53,1,1
172.473314,1436.793746,56,0,1
172.456745,1963.332683,42,1,0
194.976769,1324.164906,33,0,1
137.439154,704.9375603,47,0,1
192.470522,888.6517305,48,1,0
159.951231,377.0810282,63,1,0
112.455141,1606.489936,40,0,0
174.961766,1431.409396,67,0,1
162.452604,2253.85247,56,0,1
137.483594,1353.29384,24,0,0
275.133571,1701.457566,79,1,1
127.442069,1290.737183,61,1,0
210.138,1403.270091,38,1,1
147.456419,2603.903672,28,0,0
242.657291,1256.287854,44,1,1
114.983787,980.9935923,65,0,0
187.656013,1347.869205,35,1,1
149.991327,1127.267848,31,0,1
124.960655,1269.836202,34,0,0
220.161527,1038.745378,68,1,1
172.48852,1531.155367,62,0,0
120.004928,991.2441024,52,0,0
220.161527,1244.296865,32,1,1
139.965008,1162.332926,47,1,0
159.951231,577.1157824,66,1,0
184.949594,1442.974877,70,0,1
252.637807,1577.208717,41,1,1
112.455141,886.9398744,59,0,0
179.979358,1065.06443,46,0,0
202.443347,951.886985,70,1,0
197.472533,1404.435534,89,0,1
255.155493,1925.911722,75,1,1
174.976769,1805.011298,26,0,1
169.992756,700.7343179,25,0,0
192.440432,513.237305,84,0,1
182.460772,717.3876564,69,1,0
139.965008,1313.492851,31,1,0
137.461553,819.4195269,76,1,0
217.472533,882.1160656,75,0,1
210.138,724.7803356,74,1,1
104.964303,1829.270014,49,0,0
262.610632,1668.199119,47,1,1
152.488401,1124.353152,20,1,0
174.974431,1316.239744,26,1,0
220.118516,1637.201426,72,1,1
162.452604,951.8524406,41,0,1
184.961033,1248.097652,26,1,0
217.483972,2220.255405,55,1,0
220.118516,1669.202417,46,1,1
187.642236,990.0555076,87,1,1
174.961766,967.9819136,39,0,1
252.637807,2190.259876,81,1,1
130.024412,1445.752781,83,0,0
162.482694,528.6553088,50,1,0
182.467607,1296.481055,87,0,1
139.934918,1195.393037,76,0,1
200.165175,1700.121992,25,1,1
202.682861,2120.673828,34,1,1
159.951231,1238.421347,46,1,0
149.948316,847.110799,73,0,1
149.959755,1112.937102,57,1,0
137.469817,1623.045026,58,0,0
187.656013,1479.730181,70,1,1
164.985293,2144.735024,53,0,1
159.965008,1522.289512,31,1,0
172.462354,1974.780054,38,0,1
204.949594,1261.177198,26,0,1
147.473844,939.7181324,44,0,0
162.471255,1357.062854,66,0,1
119.95684,1456.887443,58,0,1
207.609354,937.5863866,51,1,1
194.999168,830.1193011,34,1,0
174.975543,737.8564608,87,0,1
240.114868,1781.854862,67,1,1
240.114868,2464.577489,59,1,1
139.983006,2392.203409,23,0,0
240.114868,1664.19271,42,1,1
209.993134,1433.616898,24,1,0
147.456419,823.4933243,81,0,0
107.495766,1468.357421,78,0,0
152.502178,590.7765801,51,1,0
79.978861,418.6206885,70,0,0
142.482694,1181.991846,87,1,0
117.439154,733.4036934,46,0,1
220.132293,1719.173387,56,1,1
152.455519,1205.956363,44,1,0
174.961766,1261.032763,33,0,1
202.443347,741.7766988,19,1,0
210.12704,932.6084359,31,1,1
139.979239,1708.614019,34,1,0
139.965008,1363.58603,43,1,0
137.439154,472.1057019,82,0,1
102.474625,558.2340556,36,0,0
252.637807,815.194738,48,1,1
194.999168,2007.303617,52,1,0
242.610632,2088.48083,35,1,1
127.458638,1430.761492,83,0,1
129.976324,822.3008694,20,0,1
240.114868,2059.200998,25,1,1
174.975543,617.542543,88,0,1
169.944668,758.4775985,54,0,1
162.511928,894.6733856,46,1,0
119.95684,1639.898269,75,0,1
137.439154,710.7541633,66,0,1
207.46728,1092.226042,51,0,1
149.974105,757.0097075,81,0,0
225.178625,2301.850721,75,1,1
232.637807,2401.406545,54,1,1
117.472036,1535.788894,73,0,1
137.469817,1536.589816,53,0,0
220.132293,2153.778421,33,1,1
124.960655,2409.195918,41,0,0
199.990219,1342.862457,59,0,1
159.947583,1046.054674,23,1,0
245.145743,1204.479468,32,1,1
255.155493,1616.908193,51,1,1
134.950905,345.0099528,46,0,0
159.947583,1427.088655,37,1,0
139.987503,1452.334634,53,0,0
179.947583,795.4957358,62,1,0
127.473844,1333.894229,57,0,0
232.637807,1402.20491,80,1,1
195.006206,1447.196935,43,0,0
267.642733,1662.510936,35,1,1
149.959755,1707.641161,63,1,0
220.114868,2181.752793,63,1,1
157.483594,1575.683555,27,0,0
127.474951,1029.489242,19,1,0
139.981577,2370.184448,40,0,1
255.133571,3309.919373,42,1,1
194.966286,1623.273925,40,1,0
179.965581,1146.199921,72,0,0
174.976769,2229.268031,61,0,1
187.609354,2512.36494,71,1,1
169.937833,1297.388488,68,1,0
115.002061,283.39178,88,0,0
152.462354,1947.7853,64,0,1
207.609354,849.1972541,63,1,1
147.503078,2131.359827,53,0,0
200.118516,1464.035068,41,1,1
