MonthlyCharge,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
172.455519,1,1,1,0,1,1,0,0,0,1
242.632554,0,1,1,1,1,0,0,0,1,1
159.947583,1,0,1,1,0,0,0,0,0,1
119.95684,0,0,1,0,1,0,0,0,1,0
149.948316,1,0,0,0,0,0,0,1,1,0
185.007692,1,0,1,1,1,1,1,0,0,1
200.118516,0,0,1,0,0,0,0,1,1,1
114.950905,0,0,0,0,0,1,0,0,0,0
117.468591,1,0,1,0,1,1,0,0,0,0
162.482694,1,0,1,0,1,0,1,0,0,1
174.958118,0,0,1,1,1,1,0,0,1,0
149.962093,1,0,1,0,0,0,1,0,1,0
137.439154,1,0,1,0,0,0,0,0,1,0
184.971516,1,1,1,1,1,0,0,1,1,0
159.965581,0,0,0,1,0,1,0,1,0,0
177.65076,0,0,1,0,1,0,0,0,1,1
194.966286,1,0,1,1,0,1,1,0,0,1
202.682861,0,0,1,0,1,0,1,1,1,1
152.490739,1,0,1,0,0,1,1,1,1,0
149.944668,1,0,1,1,0,0,0,0,1,0
184.978458,0,0,1,0,1,1,1,0,0,1
127.495766,0,1,1,0,1,0,1,0,0,0
124.964303,0,0,1,0,0,0,0,1,0,0
149.948316,1,0,1,0,0,0,0,1,1,0
162.511928,0,1,1,1,1,0,1,0,0,1
92.455141,0,1,1,0,0,0,0,0,0,0
222.649979,1,0,1,0,1,0,1,0,1,1
139.981577,1,0,1,0,0,1,1,0,1,0
200.132293,0,0,1,0,0,0,1,0,1,1
257.651257,0,1,1,1,1,1,1,0,1,1
230.105118,1,0,0,0,0,1,0,0,1,1
147.489301,0,1,1,1,0,1,0,1,0,0
230.105118,1,1,1,0,0,1,0,0,1,1
174.958118,0,0,1,1,1,1,0,0,1,0
267.664655,1,0,1,1,1,0,1,1,1,1
162.483267,1,0,1,1,1,1,0,1,0,0
229.993134,1,0,1,1,1,1,1,1,0,1
140.00128,1,1,1,1,1,0,1,0,0,0
184.964681,1,0,1,0,1,1,0,1,0,1
147.473844,1,0,1,0,0,1,1,0,0,0
172.457857,0,0,1,0,0,1,1,0,1,0
107.481989,1,0,1,0,1,0,0,1,0,0
255.141716,1,0,1,1,1,0,0,1,1,1
192.456745,1,1,1,1,0,0,0,1,0,1
242.632554,1,0,1,1,1,0,0,0,1,1
245.174977,1,1,1,1,1,1,1,0,1,1
184.964681,1,0,1,0,1,1,0,1,0,1
195.006206,0,0,1,1,1,1,1,1,0,0
104.962874,1,0,1,0,0,0,0,0,1,0
92.488023,0,1,1,0,0,0,0,1,0,0
184.979684,1,0,1,1,0,0,1,1,0,1
187.656013,1,0,1,0,0,0,1,0,1,1
149.962093,0,0,1,0,0,0,1,0,1,0
169.944668,0,0,1,1,0,0,0,0,1,0
160.00128,1,0,1,1,1,0,1,0,0,0
129.962093,0,0,1,0,0,0,1,0,1,0
114.950905,0,0,1,0,0,1,0,0,0,0
142.515576,0,0,1,0,1,0,1,1,0,1
220.14775,1,0,1,1,0,0,0,1,1,1
124.97808,0,0,1,0,0,0,1,0,0,0
164.964681,0,1,1,0,1,1,0,1,0,1
194.976769,1,0,1,1,0,0,1,1,1,0
152.455519,1,0,1,0,1,1,0,0,0,1
92.5018,0,1,1,0,0,0,1,0,0,0
127.488728,0,1,1,0,0,0,1,0,0,1
184.963371,1,0,1,1,0,1,1,0,1,0
265.146969,1,0,1,1,0,0,1,1,1,1
207.609354,0,0,1,0,0,0,0,0,1,1
152.462354,1,1,1,1,1,0,0,0,1,0
200.132293,1,0,1,0,0,0,1,0,1,1
212.655686,1,1,1,0,1,1,0,1,1,1
255.119794,1,0,1,1,0,1,0,1,1,1
134.950905,1,0,1,0,0,1,0,0,0,0
255.137219,1,0,1,0,0,1,1,1,1,1
214.966286,0,0,1,1,0,1,1,0,0,1
270.160419,1,1,1,1,1,1,1,1,1,1
200.165175,0,0,0,0,0,0,1,1,1,1
149.937833,0,0,1,0,0,1,0,0,0,1
240.114868,0,1,1,1,0,0,0,0,1,1
127.495766,0,1,1,0,1,0,1,0,0,0
187.609354,1,0,1,0,0,0,0,0,1,1
169.992756,1,0,1,1,0,0,1,1,0,0
192.456745,1,0,1,1,0,0,0,1,0,1
120.004928,0,1,1,0,1,0,1,1,0,0
195.006206,1,0,1,1,1,1,1,1,0,0
139.95684,0,0,1,0,1,0,0,0,1,0
114.983787,0,0,1,0,0,1,0,1,0,0
207.638588,1,0,1,1,0,0,0,0,1,1
187.609354,1,0,1,0,0,0,0,0,1,1
134.950905,1,1,1,0,0,1,0,0,0,0
192.470522,0,0,1,1,0,0,1,0,0,1
222.628057,1,1,0,0,0,1,1,0,1,1
162.468917,1,0,1,0,1,0,0,1,0,1
159.979358,1,0,1,1,0,1,1,0,0,0
184.979684,0,1,1,1,0,0,1,1,0,1
245.145743,0,0,1,0,1,1,1,0,1,1
124.97808,0,0,1,0,0,0,1,0,0,0
187.484705,0,0,1,0,1,1,1,1,1,0
162.500692,0,0,1,0,1,1,1,1,0,0
182.467607,0,0,1,1,0,0,1,0,1,0
222.660939,0,0,0,0,0,1,1,1,1,1
182.467607,0,0,1,1,0,0,1,0,1,0
220.161527,0,1,1,1,0,0,1,0,1,1
169.937833,0,0,1,0,0,1,0,0,0,1
204.963371,1,0,0,1,0,1,1,0,1,0
204.963371,0,0,1,1,0,1,1,0,1,0
245.128318,0,0,1,1,1,1,0,0,1,1
172.473314,0,1,1,1,0,1,0,1,1,0
172.456745,1,0,0,1,0,0,0,1,0,1
194.976769,0,0,1,1,0,0,1,1,1,0
137.439154,0,0,1,0,0,0,0,0,1,0
192.470522,1,1,1,1,0,0,1,0,0,1
159.951231,1,0,1,0,0,0,0,1,0,1
112.455141,0,0,1,0,0,0,0,0,0,0
174.961766,0,0,1,0,1,1,0,1,1,0
162.452604,0,0,1,0,1,1,0,0,1,0
137.483594,1,1,1,1,0,0,1,0,0,0
275.133571,0,1,1,1,0,1,1,0,1,1
127.442069,1,0,1,0,0,0,0,0,0,1
210.138,0,0,1,0,0,1,0,1,1,1
147.456419,0,0,1,1,0,1,0,0,0,0
242.657291,1,1,1,1,0,1,1,0,1,1
114.983787,0,1,1,0,0,1,0,1,0,0
187.656013,1,1,1,0,0,0,1,0,1,1
149.991327,1,0,1,1,0,0,1,0,1,0
124.960655,1,1,1,1,0,0,0,0,0,0
220.161527,1,1,1,1,0,0,1,0,1,1
172.48852,0,0,0,1,0,1,1,1,0,0
120.004928,1,1,1,0,1,0,1,1,0,0
220.161527,0,0,1,1,0,0,1,0,1,1
139.965008,1,0,1,0,0,0,1,0,0,1
159.951231,1,0,1,0,0,0,0,1,0,1
184.949594,1,0,1,1,0,1,0,1,1,0
252.637807,1,0,1,1,0,0,1,0,1,1
112.455141,1,0,1,0,0,0,0,0,0,0
179.979358,0,0,1,1,0,1,1,0,0,0
202.443347,1,1,1,1,0,1,0,0,0,1
197.472533,0,0,1,1,0,1,1,1,1,0
255.155493,0,0,0,1,1,0,1,0,1,1
174.976769,0,1,1,1,0,0,1,1,1,0
169.992756,1,0,1,1,0,0,1,1,0,0
192.440432,0,0,1,1,0,1,0,0,1,0
182.460772,0,1,1,0,0,1,1,0,0,1
139.965008,0,1,1,0,0,0,1,0,0,1
137.461553,0,0,1,0,0,1,0,0,0,1
217.472533,0,0,1,1,0,1,1,1,1,0
210.138,1,1,1,0,0,1,0,1,1,1
104.964303,0,0,0,0,0,0,0,1,0,0
262.610632,0,0,1,1,0,1,0,0,1,1
152.488401,1,1,1,0,1,1,0,1,0,1
174.974431,0,0,1,1,1,0,0,1,0,1
220.118516,0,0,1,0,0,0,0,1,1,1
162.452604,0,1,1,0,1,1,0,0,1,0
184.961033,1,1,1,1,1,1,0,0,0,1
217.483972,1,0,1,1,1,1,1,0,0,1
220.118516,1,0,1,0,0,0,0,1,1,1
187.642236,1,0,1,0,0,0,0,1,1,1
174.961766,0,1,1,0,1,1,0,1,1,0
252.637807,0,0,1,1,0,0,1,0,1,1
130.024412,1,0,1,0,1,1,1,1,0,0
162.482694,0,0,1,0,1,0,1,0,0,1
182.467607,1,0,1,1,0,0,1,0,1,0
139.934918,1,0,1,0,0,1,0,0,1,0
200.165175,0,0,1,0,0,0,1,1,1,1
202.682861,1,0,1,0,1,0,1,1,1,1
159.951231,1,0,1,0,0,0,0,1,0,1
149.948316,1,0,1,0,0,0,0,1,1,0
149.959755,1,0,1,0,1,0,0,0,0,1
137.469817,1,1,1,1,0,0,0,1,0,0
187.656013,1,0,1,0,0,0,1,0,1,1
164.985293,1,0,1,1,1,0,1,0,1,0
159.965008,1,0,1,0,0,0,1,0,0,1
172.462354,0,0,1,1,1,0,0,0,1,0
204.949594,0,0,1,1,0,1,0,1,1,0
147.473844,1,0,1,0,0,1,1,0,0,0
162.471255,0,0,1,0,0,0,1,1,1,0
119.95684,1,0,1,0,1,0,0,0,1,0
207.609354,0,0,1,0,0,0,0,0,1,1
194.999168,0,0,1,1,0,1,1,1,0,1
174.975543,1,0,1,0,1,1,1,0,1,0
240.114868,1,0,1,1,0,0,0,0,1,1
240.114868,0,1,1,1,0,0,0,0,1,1
139.983006,1,0,1,0,0,1,1,1,0,0
240.114868,1,0,1,1,0,0,0,0,1,1
209.993134,1,0,1,1,1,1,1,1,0,1
147.456419,1,1,1,1,0,1,0,0,0,0
107.495766,0,0,1,0,1,0,1,0,0,0
152.502178,0,1,1,0,1,1,1,0,0,1
79.978861,1,0,1,0,0,0,0,0,0,0
142.482694,1,1,1,0,1,0,1,0,0,1
117.439154,0,0,1,0,0,0,0,0,1,0
220.132293,1,1,1,0,0,0,1,0,1,1
152.455519,0,0,1,0,1,1,0,0,0,1
174.961766,0,0,1,0,1,1,0,1,1,0
202.443347,1,0,1,1,0,1,0,0,0,1
210.12704,1,0,1,0,1,0,0,0,1,1
139.979239,0,1,1,0,1,1,0,0,0,1
139.965008,1,1,1,0,0,0,1,0,0,1
137.439154,0,1,1,0,0,0,0,0,1,0
102.474625,0,0,1,0,0,1,0,0,0,0
252.637807,1,1,1,1,0,0,1,0,1,1
194.999168,1,1,1,1,0,1,1,1,0,1
242.610632,1,0,1,1,0,1,0,0,1,1
127.458638,1,0,1,0,0,1,0,0,1,0
129.976324,0,1,1,0,1,1,0,0,1,0
240.114868,0,0,1,1,0,0,0,0,1,1
174.975543,0,0,1,0,1,1,1,0,1,0
169.944668,1,0,1,1,0,0,0,0,1,0
162.511928,1,1,1,1,1,0,1,0,0,1
119.95684,1,0,1,0,1,0,0,0,1,0
