Age,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Churn_Yes,Techie_Yes,Contract_One year,Contract_Two Year,Port_modem_Yes,Tablet_Yes,InternetService_Fiber Optic,InternetService_None,Phone_Yes,Multiple_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,PaperlessBilling_Yes
68,7.978322947,10,0,1,6.795512947,172.455519,904.5361102,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,1,1
27,11.69907956,12,0,1,1.156680997,242.632554,800.9827661,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1,1,1
50,10.75280028,9,0,1,15.75414408,159.947583,2054.706961,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1
48,14.91353964,15,2,0,17.08722662,119.95684,2164.579412,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1
83,8.147416533,16,2,1,1.670971726,149.948316,271.4934362,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0
83,8.420992898,15,3,1,7.000993555,185.007692,1039.357983,0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0
79,11.18272453,10,0,1,13.23677381,200.118516,1907.242972,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
30,7.791632265,16,0,0,4.26425515,114.950905,979.6127078,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
49,5.739005915,20,2,3,8.220686373,117.468591,1312.874964,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
86,8.707823904,18,1,0,3.422086139,162.482694,508.7637913,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1
23,9.341631685,9,0,2,19.26726194,174.958118,2728.767869,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
56,6.68082638,17,1,1,10.52199781,149.962093,1180.588788,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
83,8.273875452,9,0,0,13.01149229,137.439154,1196.388018,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
29,5.880565591,14,1,0,16.87922024,184.971516,1948.694497,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1
30,11.79073041,10,3,0,10.06019902,159.965581,1582.295235,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
39,10.79846973,13,1,0,13.87001293,177.65076,1840.014467,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
63,13.52284721,13,1,0,15.78214958,194.966286,2070.376729,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1
60,9.831166695,16,3,0,2.303331273,202.682861,882.0985933,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0
61,9.57470568,11,1,0,17.10995632,152.490739,1833.0967,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1
23,10.92246098,10,1,0,12.80615845,149.944668,1954.080809,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
38,12.06889188,14,0,3,20.45390977,184.978458,2330.319383,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1
30,6.984819996,18,1,0,2.415991977,127.495766,594.1054279,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
52,9.372975594,16,1,1,6.652298992,124.964303,713.0633088,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
68,7.109002592,9,0,0,8.543717478,149.948316,945.3802928,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1
75,13.74777955,15,1,0,5.770390256,162.511928,870.76398,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0
77,9.767668044,12,1,0,4.157658837,92.455141,774.2937069,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
47,15.8626095,15,0,1,10.40566091,222.649979,1506.446527,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
70,14.73616645,12,0,0,1.392421597,139.981577,419.0508708,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1
20,13.43558029,13,2,0,1.430386349,200.132293,1259.415493,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0
69,10.61771118,18,1,0,5.425864884,257.651257,1745.125956,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1
45,6.613070806,14,0,0,11.08287797,230.105118,1795.465729,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1
40,4.450171647,13,2,0,3.586184954,147.489301,492.4771472,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0
82,8.774646693,9,0,0,4.727388465,230.105118,1013.993166,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1
74,11.13156721,8,1,1,20.89923386,174.958118,2680.762173,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0
69,5.540788887,15,1,0,3.471329958,267.664655,1081.814362,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0
52,13.80362698,11,0,1,5.478588204,162.483267,1209.961168,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1
26,16.31017089,16,1,1,3.312991809,229.993134,897.5919144,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1
25,9.447065309,9,2,0,7.161561527,140.00128,1340.930156,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1
66,16.84100845,12,1,0,9.847563364,184.964681,1113.993679,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0
72,7.972937227,10,1,1,16.04202196,147.473844,1530.10769,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0
21,11.42906608,12,1,0,9.179779682,172.457857,1310.137419,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1
55,8.06137096,16,2,0,3.002844144,107.481989,892.8964931,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
41,12.54780492,11,1,2,3.924254455,255.141716,1125.581944,1,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0
32,8.255565152,13,0,0,18.55959629,192.456745,2016.710031,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,1
22,13.156514,6,0,0,8.798394712,242.632554,1412.736809,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1
44,10.58349704,5,1,0,10.377366,245.174977,1710.689671,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1
23,12.50184778,11,1,0,22.25746016,184.964681,2384.885909,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1
43,9.750038902,11,1,0,9.427146079,195.006206,1213.940165,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1
86,7.868660851,11,2,2,7.760290062,104.962874,740.010722,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0
84,12.43563329,14,0,1,11.56938439,92.488023,897.9716153,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1
62,8.957166926,13,3,0,3.343811019,184.979684,1026.387172,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0
68,8.015021713,12,1,0,7.338869531,187.656013,1234.244324,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1
59,4.210347704,8,0,0,5.486534225,149.962093,727.3731845,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1
31,11.13960534,6,0,0,1.55278221,169.944668,452.8721504,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
51,9.03738856,11,2,0,12.07970325,160.00128,1296.674543,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,1
58,10.91594785,11,1,1,13.98666226,129.962093,1840.628269,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
73,8.387624096,11,0,1,9.563362997,114.950905,1324.330108,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
33,11.4487514,11,0,1,6.732948946,142.515576,958.1397059,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1
58,10.22013704,15,2,0,15.72071086,220.14775,1868.864027,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,1
49,8.425458142,9,1,0,7.233605493,124.97808,676.712908,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
26,8.386280619,12,1,0,2.871017037,164.964681,1086.990308,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1
25,9.565924291,10,3,0,2.344875382,194.976769,704.7540406,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0
42,10.79349982,14,3,0,7.960490246,152.455519,1416.444695,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1
81,6.081975067,15,0,0,12.25062113,92.5018,1095.950634,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0
43,13.55065547,13,0,0,9.634946079,127.488728,1083.610268,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
63,9.470419821,14,1,0,7.916533093,184.963371,1570.641337,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0
70,6.194985909,11,0,1,4.471254161,265.146969,1007.425553,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1
78,10.80393657,19,1,0,10.79028074,207.609354,1323.028419,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
48,7.903964267,17,0,1,12.24190682,152.462354,1808.730555,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0
63,11.27443693,18,2,1,2.203859443,200.132293,1120.241472,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1
60,6.129509309,12,0,0,23.92132231,212.655686,2676.789803,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0
87,7.969277912,17,0,0,3.7311787,255.119794,1268.086909,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1
54,4.368120492,9,0,0,7.980015371,134.950905,822.6771666,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1
35,6.258356398,9,0,1,9.190009376,255.137219,1577.915603,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1
70,12.92303286,16,0,0,2.378630018,214.966286,648.7471776,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0
67,12.43301273,13,0,0,5.43464555,270.160419,1648.102673,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
